name,position,adp
Thomas Rawls,RB114,365.0
Trenton Cannon,RB115,367.0
Clive Walford,TE57,368.0
Marcedes Lewis,TE58,373.0
C.J. Beathard,QB46,374.0
Tommylee Lewis,WR133,375.0
Equanimeous St. Brown,WR134,376.0
Justin Hardy,WR135,377.0
Teddy Bridgewater,QB47,378.0
Justin Watson,WR136,379.0
Johnny Manziel,QB48,380.0
Mike Boone,RB116,382.0
Mark Sanchez,QB49,383.0
Nathan Peterman,QB50,384.0
Eddy Pineiro,K31,386.0
Colin Kaepernick,QB51,387.0
Aaron Hernandez,TE59,388.0
Mike Davis,RB117,389.0
Shelton Gibson,WR137,390.0
Deonte Thompson,WR138,391.0
Matt Cassel,QB52,394.0
DaeSean Hamilton,WR139,396.0
Zane Gonzalez,K32,397.0
Javon Wims,WR140,398.0
Derek Watt,RB118,399.0
Terrance West,RB119,400.0
Kerwynn Williams,RB120,402.0
C.J. Ham,RB121,403.0
Bennie Fowler III,WR141,404.0
Seth Roberts,WR142,405.0
Bruce Ellington,WR143,407.0
Charcandrick West,RB122,408.0
Mack Hollins,WR144,409.0
Brandon Tate,WR145,410.0
Dwayne Harris,WR146,411.0
Jacob Hollister,TE60,412.0
Brett Hundley,QB53,413.0
Roc Thomas,RB123,415.0
Roberto Aguayo,K33,416.0
Marquez Valdes-Scantling,WR147,417.0
Braxton Berrios,WR148,418.0
Richie James Jr.,WR149,419.0
Justin Davis,RB124,420.0
Braxton Miller,WR150,421.0
Amara Darboh,WR151,423.0
T.J. Jones,WR152,424.0
Jason Sanders,K34,425.0
Jeremy Kerley,WR153,426.0
Chris Conley,WR154,427.0
Niles Paul,TE61,428.0
Keith Smith,RB125,429.0
Patrick DiMarco,RB126,430.0
Andy Janovich,RB127,431.0
Joe Webb III,QB54,432.0
Nick Boyle,TE62,433.0
Chris Moore,WR155,434.0
Jermaine Gresham,TE63,435.0
Justin Hunter,WR156,436.0
Demarcus Robinson,WR157,437.0
Brandon Weeden,QB55,438.0
Demetrius Harris,TE64,439.0
Seth DeValve,TE65,440.0
Nate Sudfeld,QB56,441.0
Lee Smith,TE66,442.0
Lance Kendricks,TE67,443.0
Eli Rogers,WR158,444.0
A.J. Derby,TE68,445.0
Benny Cunningham Jr.,RB128,446.0
Chad Hansen,WR159,447.0
De'Anthony Thomas,WR160,448.0
Jamize Olawale,RB129,449.0
Chris Herndon IV,TE69,450.0
Nick O'Leary,TE70,451.0
Logan Paulsen,TE71,452.0
Geno Smith,QB57,453.0
Mason Rudolph,QB58,454.0
Josh Hill,TE72,455.0
Blaine Gabbert,QB59,456.0
Kendrick Bourne,WR161,457.0
Josh Reynolds,WR162,458.0
