name,position,adp
Carlos Henderson,WR89,185.0
Alfred Morris,RB82,251.7
Younghoe Koo,K19,190.0
Javorius Allen,RB83,253.0
Laquon Treadwell,WR90,238.0
JuJu Smith-Schuster,WR91,238.0
Benjamin Watson,TE31,239.5
C.J. Spiller,RB84,196.0
Zach Miller,TE32,259.0
DeShone Kizer,QB30,264.0
Tampa Bay Buccaneers DST,DST18,244.5
Trevor Siemian,QB31,257.7
Travis Benjamin,WR92,264.7
Tim Hightower,RB85,245.0
Jerick McKinnon,RB86,245.5
Las Vegas Raiders DST,DST19,245.5
Jared Goff,QB32,256.0
Brandon Coleman,WR93,212.0
George Kittle,TE33,248.0
Kasen Williams,WR94,213.0
Aaron Jones,RB87,248.5
Chandler Catanzaro,K20,265.5
Tyler Boyd,WR95,250.0
Donnel Pumphrey,RB88,218.0
Marquise Goodwin,WR96,251.5
Tennessee Titans DST,DST20,251.5
Josh Gordon,WR97,251.5
Bruce Ellington,WR98,220.0
Chester Rogers,WR99,221.0
Ryan Switzer,WR100,223.0
Orleans Darkwa,RB89,263.7
Geronimo Allison,WR101,230.0
Jermaine Kearse,WR102,257.5
Gerald Everett,TE34,258.5
Matt Jones,RB90,262.0
Alex Erickson,WR103,237.0
Matt Asiata,RB91,238.0
Chris Johnson,RB92,242.0
Josh McCown,QB33,243.0
Phillip Dorsett II,WR104,268.5
Nick Folk,K21,246.0
Jermaine Gresham,TE35,246.0
Wayne Gallman Jr.,RB93,248.0
Andre Roberts,WR105,250.0
Green Bay Packers DST,DST21,252.0
Ryan Mathews,RB94,252.0
Jeremy Kerley,WR106,278.0
Cordarrelle Patterson,RB95,256.0
Patrick Mahomes II,QB34,270.0
Tajae Sharpe,WR107,258.0
Jeremy McNichols,RB96,258.0
Deonte Thompson,WR108,260.0
Brandon Tate,WR109,261.0
Braxton Miller,WR110,263.0
New York Jets DST,DST22,265.0
Eli Rogers,WR111,292.0
Taywan Taylor,WR112,310.5
Erik Swoope,TE36,268.0
Dwayne Washington,RB97,299.5
Markus Wheaton,WR113,269.0
Vernon Davis,TE37,292.0
Buffalo Bills DST,DST23,270.0
Kamar Aiken,WR114,271.0
Terrance Williams,WR115,281.5
Daniel Lasco,RB98,272.0
Miami Dolphins DST,DST24,273.0
Ladarius Green,TE38,273.0
Aldrick Rosas,K22,275.0
Dallas Cowboys DST,DST25,276.0
Dennis Pitta,TE39,276.0
Cleveland Browns DST,DST26,277.0
Chicago Bears DST,DST27,278.0
Zane Gonzalez,K23,278.0
San Francisco 49ers DST,DST28,279.0
Phil Dawson,K24,279.0
Washington Commanders DST,DST29,280.0
Indianapolis Colts DST,DST30,281.0
Detroit Lions DST,DST31,282.0
Josh Lambo,K25,282.0
New Orleans Saints DST,DST32,283.0
Tom Savage,QB35,285.0
Nick Novak,K26,286.0
Mike Glennon,QB36,287.0
DeAngelo Williams,RB99,289.0
Kenjon Barner,RB100,293.0
Dontrelle Inman,WR116,296.0
Matt Barkley,QB37,298.0
Victor Cruz,WR117,299.0
James Starks,RB101,301.0
Roberto Aguayo,K27,304.0
Michael Floyd,WR118,306.0
Damien Williams,RB102,307.0
Seth Roberts,WR119,308.0
Brock Osweiler,QB38,309.0
Adam Humphries,WR120,311.0
Cody Kessler,QB39,312.0
Paxton Lynch,QB40,313.0
Christine Michael,RB103,314.0
Sammie Coates,WR121,316.0
Ryan Succop,K28,317.0
Cameron Artis-Payne,RB104,320.0
Kai Forbath,K29,321.0
Shaun Draughn,RB105,322.0
Colin Kaepernick,QB41,323.0
De'Anthony Thomas,WR122,325.0
Robbie Gould,K30,326.0
Kenneth Dixon,RB106,327.0
Dorial Green-Beckham,WR123,329.0
Ryan Tannehill,QB42,330.0
Rico Gathers,TE40,332.0
Derrick Coleman,RB107,333.0
Kyle Brindza,K31,334.0
Quincy Enunwa,WR124,335.0
Greg Zuerlein,K32,336.0
Mack Hollins,WR125,337.0
Seth DeValve,TE41,338.0
Dion Sims,TE42,339.0
Adam Shaheen,TE43,340.0
Andrew Franks,K33,341.0
Mike Tolbert,RB108,342.0
Elijah McGuire,RB109,343.0
Aaron Hernandez,TE44,344.0
Nick Boyle,TE45,345.0
Corey Clement,RB110,346.0
Rod Smith,RB111,347.0
Alfred Blue,RB112,348.0
Benny Cunningham Jr.,RB113,349.0
Andre Holmes,WR126,350.0
Jakeem Grant Sr.,WR127,351.0
Jake Butt,TE46,352.0
Dwayne Harris,WR128,353.0
Malcolm Brown,RB114,354.0
Matt Moore,QB43,356.0
Charone Peake,WR129,357.0
Jaelen Strong,WR130,358.0
David Fluellen,RB115,359.0
Maxx Williams,TE47,360.0
J.D. McKissic,RB116,361.0
Jordan Leggett,TE48,362.0
Tyler Ervin,RB117,363.0
Trent Taylor,WR131,364.0
Jonnu Smith,TE49,365.0
Ryan Griffin,TE50,366.0
Ka'imi Fairbairn,K34,367.0
Michael Campanaro,WR132,368.0
Albert Wilson,WR133,369.0
